No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,CH Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS Report,APRS Report Channel
21,DB0BH-TS1,439.07500,431.47500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
22,DB0BHN-TS1,439.90000,430.50000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
23,DB0BHN-TS1,439.92500,430.52500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
24,DB0BHV-TS1,438.47500,430.87500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
25,DB0BLB-TS1,439.53750,431.93750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
26,DB0BNL-TS1,438.51250,430.91250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
27,DB0BP-TS1,438.92500,431.32500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
28,DB0BRB-TS1,439.48750,431.88750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
29,DB0BRO-TS1,439.43750,431.83750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
30,DB0BRO-TS1,439.13750,431.53750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
